"pic_id" "sample_size" "test_param" "param_value" "p_value" "location" "pic_name" "experiment" "difficulty"
1 "30" "p_noise_d" "40_0_1" NA "20" "plot_large_p_small_n_30_40_0_1_1.png" "large_p_small_n" "1"
2 "30" "p_noise_d" "40_1_1" NA "14" "plot_large_p_small_n_30_40_1_1_1.png" "large_p_small_n" "5"
3 "30" "p_noise_d" "80_0_1" NA "7" "plot_large_p_small_n_30_80_0_1_1.png" "large_p_small_n" "6"
4 "30" "p_noise_d" "80_1_1" NA "4" "plot_large_p_small_n_30_80_1_1_1.png" "large_p_small_n" "5"
5 "30" "p_noise_d" "40_0_2" NA "12" "plot_large_p_small_n_30_40_0_2_1.png" "large_p_small_n" "1"
6 "30" "p_noise_d" "40_1_2" NA "2" "plot_large_p_small_n_30_40_1_2_1.png" "large_p_small_n" "5"
7 "30" "p_noise_d" "80_0_2" NA "3" "plot_large_p_small_n_30_80_0_2_1.png" "large_p_small_n" "6"
8 "30" "p_noise_d" "80_1_2" NA "12" "plot_large_p_small_n_30_80_1_2_1.png" "large_p_small_n" "5"
